Vegetable Category;Vegetable;10.11.2020;17.11.2020;24.11.2020;01.12.2020;08.12.2020;15.12.2020;22.12.2020;29.12.2020;05.01.2021;12.01.2021;19.01.2021;26.01.2021;02.02.2021;09.02.2021;16.02.2021;23.02.2021;02.03.2021;09.03.2021;16.03.2021;23.03.2021;30.03.2021;06.04.2021;13.04.2021;20.04.2021;27.04.2021;04.05.2021;11.05.2021;18.05.2021;25.05.2021;01.06.2021;08.06.2021;15.06.2021;22.06.2021;29.06.2021;06.07.2021;13.07.2021;20.07.2021;27.07.2021;03.08.2021;10.08.2021;17.08.2021;24.08.2021;31.08.2021;07.09.2021;14.09.2021;21.09.2021;28.09.2021;05.10.2021;12.10.2021;19.10.2021;26.10.2021;02.11.2021;09.11.2021;16.11.2021;23.11.2021;30.11.2021;07.12.2021;14.12.2021;21.12.2021;28.12.2021;;Total;Average
Salad;Green Salad (Eichblatt);207;;;;;;;;;;;;;;;220;;;;254;;265;212;311;;380;480;;;250;698;122;201;429;;360;293;;;;;;;;174;;;;;395;260;;;;;;;;;;;5511;306
Salad;Red Salad (Eichblatt);;;114;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;224;;167;;;;;;;;;;;;;;;;;505;168
Salad;Endive Salad;810;;;;;;;;;;;;;;;;;;;;;;;;192;;;;;;;;;;;;;;;;;;;;;;;554;;;;486;;560;;;;;;;;2602;520
Salad;Rocket Salad;;;;;;;;;;;;;;;;;;;;;;;103;150;102;;101;;;;;;;;;;;;;;;;;;112;;;;;;;;;;;;;;;;;568;114
Salad;Iceberg Lettuce;;;;;;;;;;;;;;;;;;;;;;;;;;;479;;;125;;342;;;411;913;;;;;;;332;;;;;;;254;;;248;;;;;;;;;3104;388
Salad;Green Salad (Lollo);;;;;;;;;;;;;;;;;;;;;;;;;;;588;;;;;;;;;;417;;;;;336;;;;274;332;;;472;165;;;;;;;;;;;2584;369
Salad;Red Salad (Lollo);;;;;;;;;;;;;;;;;;;;;;;;;181;;;;;;;;434;403;;;;;;;;;;;;;437;191;;;;;266;94;;;;;;;;2006;287
Salad;Chiccorino Red;;273;;281;475;;400;;;206;;227;;637;;;;;;;;;;;;;;;;;;;;;;;;347;;;;;;;;;;;;;;;;;;;;;;;;2846;356
Salad;Chiccorée ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;#DIV/0!
Salad;Nut Salad;;;154;148;143;146;145;;;154;;142;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;274;;243;232;;;;;;;;1781;178
Salad;Kopfsalat;;;;;;;;;;;;;;;;;;279;;;325;;;;340;405;;;;350;248;245;382;;373;;;162;;;466;350;;;293;242;;225;;;;326;;;;;;;;;;5011;313
Salad;Lattich Salad;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;384;822;239;381;;;;;;;;;;;;;240;;147;;;;;;;;;;2213;369
Salad;Zuckerhut;;908;;624;;942;750;;;1020;;824;;803;;632;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6503;813
Salad;Winterportulak;;;;;;203;;;;;;;;;;;;;149;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;352;176
Salad;Asia Salad;;148;;;;;;;;;;;;;;;;357;200;;;;;212;;;;;;;;;;;;;;;;;;;;;;;;;;;;212;;;;;;;;;;1129;226
Salad;Schnittsalat;;;;;;;;;;;;;;;;;;;;278;186;;105;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;569;190
Salad;Frisee;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;448;;;;;;;;;;;;;;;;;;;;
Salad;Kresse;;;;;;;;;;;;;;138;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;138;138
Herbs;Rosmary;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;#DIV/0!
Herbs;Basil;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;59;47;43;69;114;146;29;30;;;;8;;4;;;61;;;;;;;;;;;;;;;610;55
